LOR-Schlüssel (Bezirksregion);Bezeichnung (Bezirksregion);Straftaten-insgesamt;Raub;Straßenraub, Handtaschenraub;Körperverletzungen-insgesamt;Gefährl und schwere Körperverletzung;Freiheitsberaubung, Nötigung, Bedrohung, Nachstellung;Diebstahl-insgesamt;Diebstahl von Kraftwagen;Diebstahl an/aus Kfz;Fahrraddiebstahl;Wohnraumeinbruch;Branddelikte-insgesamt;Brandstiftung;Sachbeschädigung-insgesamt;Sachbeschädigung durch Graffiti;Rauschgiftdelikte;Kieztaten
073005;Friedenau West;1675;11;6;111;23;68;771;25;110;172;30;11;1;193;60;40;342
073006;Friedenau Ost;1691;19;11;138;25;67;757;38;193;107;39;11;4;185;27;63;460
074007;Tempelhof Nord;2270;13;7;165;32;66;757;19;136;107;13;9;5;277;99;160;483
074008;Tempelhof Südwest;3227;24;8;310;66;126;1372;37;275;134;38;20;7;331;73;79;756
074009;Tempelhof Südost;2121;9;3;178;41;75;943;41;222;99;4;14;4;200;18;46;440
075010;Mariendorf Nord;2357;9;5;182;40;148;1065;41;258;77;30;10;8;211;16;51;687
075011;Mariendorf Süd;1657;11;4;120;18;82;715;28;156;47;33;10;5;144;29;21;426
076012;Marienfelde Nord;1127;4;2;111;17;52;474;24;69;41;24;12;3;109;30;32;305
076013;Marienfelde Süd;1148;9;4;111;21;61;512;8;89;27;11;9;2;120;6;30;257
076014;Lichtenrade Nord;916;5;3;84;14;51;323;32;83;16;18;4;3;90;9;27;270
076015;Lichtenrade Süd;1765;12;5;174;40;99;628;42;98;52;20;24;5;298;36;55;511
079900;Bezirk (Th-Sb), nicht zuzuordnen;961;17;15;71;17;52;481;21;132;83;0;4;2;87;9;21;195
081001;Schillerpromenade;4388;59;29;427;155;148;1917;15;469;286;58;19;7;402;72;369;915
081002;Neuköllner Mitte/Zentrum;7330;66;36;551;183;181;3449;25;904;351;50;44;16;542;86;453;1244
081003;Reuterstraße;6811;58;32;594;216;209;2878;32;773;465;37;46;15;667;155;390;1420
081004;Rixdorf;4970;42;19;466;154;192;1930;23;596;419;56;41;25;475;76;487;1052
081005;Köllnische Heide;2305;24;11;187;68;127;938;50;314;40;27;18;7;342;10;143;673
082006;Britz Nord;2260;20;7;209;64;113;905;33;231;81;30;15;8;216;36;74;670
082007;Britz;2544;23;16;258;62;110;1080;35;304;73;50;17;9;239;18;54;638
082008;Buckow;1694;7;2;197;34;84;731;44;185;45;31;17;7;159;6;24;623
083009;Gropiusstadt West;2164;28;17;221;47;101;1000;17;159;55;26;17;3;280;23;34;643
083010;Gropiusstadt Ost;1355;20;11;215;73;103;442;19;80;44;22;16;5;194;16;19;531
084011;Buckow Nord;877;6;3;88;20;51;382;7;87;15;14;7;3;85;2;12;252
084012;Rudow;2577;15;7;255;56;157;999;107;179;100;85;20;13;303;20;38;793
089900;Bezirk (Nk), nicht zuzuordnen;1072;27;25;80;28;43;554;11;190;36;1;3;0;91;9;49;204
091001;Alt-Treptow;2543;30;16;195;54;69;1282;10;135;318;14;16;3;215;41;171;453
091002;Plänterwald;960;6;1;72;17;42;448;23;105;99;30;4;1;140;20;15;250
